Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value
2018-08-16,1113.14,1119.28,1111.76,2389796424.0,0.0
2018-08-15,1108.77,1111.86,1101.54,2380410879.0,0.0
2018-08-14,1119.43,1121.9,1115.54,2403295333.0,465261.0
2018-08-13,1113.61,1121.13,1111.39,2391266936.0,0.0
2018-08-10,1115.15,1119.39,1111.42,2394563169.0,0.0
2018-08-09,1129.44,1135.45,1129.14,2425262103.0,101583.0
2018-08-08,1136.45,1137.96,1129.35,2440410557.0,0.0
2018-08-07,1133.54,1136.37,1131.81,2434166897.0,358872.0
2018-08-06,1141.06,1142.57,1134.47,2450682178.0,259007.0
2018-08-03,1135.59,1135.72,1126.3,2439178772.0,0.0
2018-08-02,1130.7,1131.39,1114.79,2428689719.0,0.0
2018-08-01,1123.02,1128.58,1120.77,2412182818.0,0.0
2018-07-31,1127.99,1130.03,1120.53,2422864013.0,483129.0
2018-07-30,1119.73,1126.79,1117.46,2405595399.0,0.0
2018-07-27,1125.66,1137.23,1117.86,2418330376.0,0.0
2018-07-26,1129.58,1133.81,1126.42,2426766736.0,0.0
2018-07-25,1120.83,1120.87,1109.08,2407968675.0,0.0
2018-07-24,1111.48,1127.42,1109.97,2387881610.0,0.0
2018-07-23,1120.96,1123.92,1111.04,2408247018.0,0.0
2018-07-20,1112.6,1118.71,1111.92,2479587067.0,0.0
2018-07-19,1121.58,1124.92,1114.05,2499592085.0,0.0
2018-07-18,1122.68,1125.11,1119.45,2502062102.0,0.0
2018-07-17,1123.32,1123.75,1110.24,2503481898.0,0.0
2018-07-16,1116.88,1123.11,1114.64,2489117481.0,0.0
2018-07-13,1124.02,1126.01,1122.17,2505040124.0,0.0
2018-07-12,1122.81,1123.14,1113.15,2502335830.0,0.0
2018-07-11,1102.23,1108.76,1098.89,2456481455.0,0.0
2018-07-10,1116.57,1117.78,1111.38,2488427174.0,0.0
2018-07-09,1117.28,1117.4,1111.54,2490017917.0,0.0
2018-07-06,1108.77,1109.47,1096.55,2471047790.0,0.0
2018-07-05,1095.88,1096.09,1082.94,2442328188.0,0.0
2018-07-03,1079.37,1089.87,1078.82,2405529870.0,0.0
2018-07-02,1082.16,1082.49,1064.35,2411749130.0,0.0
2018-06-29,1074.18,1081.93,1074.18,2393959049.0,0.0
2018-06-28,1073.28,1075.08,1060.5,2391946553.0,570536.0
